Tbm2;Tbm2;Tbm2;Tbm2
Standard force;Standard travel;Grip to grip separation;Test time
N;mm;mm;s
75.3404541;0;65.03710077;0
75.31961823;0;65.03710077;0.1
75.27605438;0;65.03710077;0.2
75.21779633;0;65.03710077;0.3
75.18132019;0;65.03710077;0.4
75.17300415;0;65.03710077;0.5
75.17360687;0;65.03710077;0.6
79.89333344;0;65.03832443;0.7
94.00856781;0;65.04115504;0.8
116.2722397;0;65.04574959;0.9
145.739502;0;65.05190132;1
183.2099762;0.005;65.05982515;1.1
227.4313812;0.01;65.06930982;1.2
278.856842;0.015;65.08062946;1.3
336.1448975;0.02;65.09339206;1.4
399.4642029;0.025;65.10786613;1.5
468.2040405;0.035;65.12388345;1.6
537.2748413;0.039999999;65.14041277;1.7
606.1268311;0.0499966;65.15724928;1.8
672.1765137;0.059315264;65.17383053;1.9
736.3764648;0.064999998;65.19054203;2
799.3388062;0.075000003;65.20723257;2.1
860.2386475;0.085000001;65.22374864;2.2
920.8865967;0.094999999;65.24055058;2.3
979.8301392;0.104999997;65.25728947;2.4
1036.873779;0.1199966;65.27392303;2.500000001
1092.988281;0.129315257;65.2905027;2.600000001
1147.052612;0.139996603;65.30695436;2.700000001
1193.839111;0.144999996;65.32379401;2.800000001
1235.171753;0.155000001;65.34070623;2.900000001
1286.360107;0.159999996;65.35728336;3.000000001
1339.822388;0.170000002;65.37394605;3.100000001
1390.57019;0.179999992;65.3904351;3.200000001
1440.761719;0.185000002;65.40696037;3.300000001
1490.130371;0.194999993;65.42390535;3.400000001
1537.432373;0.204996601;65.44058016;3.500000001
1583.448853;0.214996606;65.45732108;3.600000001
1628.742554;0.219999999;65.47384468;3.700000001
1673.355103;0.234315261;65.49041841;3.800000001
1718.882202;0.239999995;65.50729868;3.900000001
1763.371704;0.25;65.52386299;4.000000001
1806.852905;0.25999999;65.54043761;4.100000001
1850.227905;0.269996613;65.55720714;4.200000001
1892.271484;0.275000006;65.57373193;4.300000001
1935.348755;0.284996599;65.59055421;4.400000001
1978.370361;0.289999992;65.60732547;4.500000001
2020.378662;0.294999987;65.62390158;4.600000001
2061.570313;0.300000012;65.64057687;4.700000001
2102.305664;0.309996605;65.65695617;4.800000001
2143.534912;0.314999998;65.67368046;4.900000001
2185.391113;0.319999993;65.69065932;5.000000001
2225.519043;0.329996586;65.70732293;5.100000001
2265.669189;0.335000008;65.72394583;5.200000001
2305.29834;0.340000004;65.74051133;5.300000001
2345.114014;0.344999999;65.75701669;5.400000001
2385.106689;0.349999994;65.77391223;5.500000001
2424.297119;0.354999989;65.79049096;5.600000001
2462.845947;0.360000014;65.80723861;5.700000001
2501.356445;0.364996612;65.82391331;5.800000001
2539.068848;0.369315267;65.84038309;5.900000001
2578.343018;0.374996603;65.85726962;6.000000001
2617.080322;0.375;65.87399313;6.100000001
2654.905273;0.379999995;65.89049551;6.200000001
2692.592773;0.389315277;65.90717593;6.300000001
2729.460449;0.395000011;65.92368147;6.400000001
2767.220947;0.400000006;65.94052515;6.500000001
2804.740723;0.405000001;65.95737836;6.600000001
2841.103271;0.414999992;65.97396163;6.700000001
2877.421875;0.419999987;65.99065522;6.800000001
2913.30835;0.429315269;66.00705228;6.900000001
2949.9375;0.435000002;66.02362082;7.000000001
2987.198975;0.439999998;66.04060194;7.100000001
3022.729248;0.444315255;66.05728946;7.200000001
3058.092529;0.444999993;66.07400081;7.300000001
3093.308105;0.454996586;66.09052143;7.400000002
3128.330322;0.45931527;66.10700605;7.500000002
3164.06665;0.460000008;66.12392185;7.600000002
3198.654053;0.469996601;66.14052448;7.700000002
3232.207031;0.474999994;66.15717552;7.800000002
3266.85083;0.484996587;66.1739032;7.900000002
3300.859131;0.494996607;66.19037149;8.000000002
3335.380127;0.5;66.20721457;8.100000002
3370.214355;0.50999999;66.22401152;8.200000002
3403.872803;0.514999986;66.24058089;8.300000002
3437.968506;0.519999981;66.25717125;8.400000002
3471.104004;0.529999971;66.27360556;8.500000002
3505.210205;0.535000026;66.29042241;8.600000002
3538.837158;0.540000021;66.30741153;8.700000002
3571.22168;0.545000017;66.32396672;8.800000002
3604.437256;0.55499661;66.34063134;8.900000002
3637.646729;0.560000002;66.35715661;9.000000002
3671.171631;0.564999998;66.37367115;9.100000002
3704.873779;0.574996591;66.39055154;9.200000002
3737.652832;0.579999983;66.40715;9.300000002
3770.438232;0.584999979;66.42396114;9.400000002
3802.783691;0.589999974;66.44058392;9.500000002
3834.906738;0.595000029;66.45705376;9.600000002
3867.868164;0.600000024;66.47390303;9.700000002
3900.199463;0.604315281;66.49059043;9.800000002
3932.217041;0.605000019;66.50714025;9.900000002
3964.766113;0.614315271;66.52387712;10
3996.748291;0.61500001;66.54032872;10.1
4029.597412;0.620000005;66.55718348;10.2
4061.979492;0.625;66.57406125;10.3
4093.444092;0.629999995;66.59062621;10.4
4125.152344;0.63499999;66.60727713;10.5
4156.262695;0.639999986;66.62364349;10.6
4187.200195;0.644999981;66.64030216;10.7
4219.480469;0.649999976;66.65730557;10.8
4250.835449;0.654999971;66.67401395;10.9
4282.024414;0.660000026;66.69057939;11
4313.569336;0.665000021;66.7071713;11.1
4344.844238;0.670000017;66.72373364;11.2
4377.54834;0.675000012;66.7406002;11.3
4409.130371;0.680000007;66.75714073;11.4
4439.545898;0.685000002;66.77382622;11.5
4469.643066;0.689999998;66.79060838;11.6
4499.256348;0.694999993;66.80711386;11.7
4530.625488;0.699999988;66.82390151;11.8
4561.597168;0.704999983;66.84062967;11.9
4591.858398;0.709999979;66.8572124;12
4622.388672;0.714999974;66.87385771;12.1
4652.03125;0.720000029;66.890259;12.2
4682.167969;0.725000024;66.90708432;12.3
4711.397949;0.735000014;66.92404649;12.4
4737.356934;0.74000001;66.94064603;12.5
4711.700195;0.749315262;66.95731375;12.6
4744.67334;0.754315257;66.9737036;12.7
4782.442871;0.754999995;66.99027762;12.8
4818.998047;0.75999999;67.00724659;12.9
4853.532227;0.764315248;67.02392087;13
4886.779297;0.764999986;67.04062626;13.1
4919.733398;0.769999981;67.0571799;13.2
4951.021973;0.774999976;67.07373783;13.3
4983.336426;0.779996574;67.09067747;13.4
5013.952637;0.779999971;67.10719201;13.5
5044.130859;0.785000026;67.12378309;13.6
5074.048828;0.790000021;67.14051626;13.7
5103.980957;0.799315274;67.15708992;13.8
5133.744629;0.800000012;67.17388723;13.9
5163.849609;0.809315264;67.19064138;14
5193.640137;0.814999998;67.20721552;14.1
5223.302734;0.819999993;67.22396824;14.2
5252.334961;0.82431525;67.24027917;14.3
5281.630859;0.824999988;67.25695822;14.4
5311.864258;0.83431524;67.27402971;14.5
5340.371582;0.834999979;67.29065916;14.6
5369.363281;0.839999974;67.30735681;14.7
5398.169434;0.839999974;67.32382581;14.8
5427.771484;0.845000029;67.34032128;14.9
5458.088379;0.850000024;67.35723874;15
5487.964355;0.855000019;67.37386582;15.1
5517.426758;0.860000014;67.39054987;15.2
5547.052734;0.860000014;67.40725157;15.3
5576.209961;0.86500001;67.42373249;15.4
5606.182129;0.874996603;67.4405956;15.5
5635.911133;0.879999995;67.45732782;15.6
5664.91748;0.88499999;67.47380993;15.7
5694.69043;0.889999986;67.49047134;15.8
5723.88623;0.894999981;67.50703404;15.9
5754.160156;0.899999976;67.52384302;16
5785.013184;0.899999976;67.54073999;16.1
5815.102051;0.904999971;67.5572562;16.2
5844.85791;0.910000026;67.57399604;16.3
5873.903809;0.915000021;67.59038803;16.4
5902.964355;0.919315279;67.60693571;16.5
5933.188477;0.920000017;67.62394926;16.6
5962.348633;0.930000007;67.64062664;16.7
5992.013184;0.939315259;67.65733812;16.8
6020.978516;0.944996595;67.67385909;16.9
6050.371582;0.949999988;67.69035742;17
6081.268555;0.95931524;67.70722458;17.1
6111.278809;0.959999979;67.7238693;17.2
6140.007813;0.96931529;67.74054787;17.3
6168.516113;0.975000024;67.75724552;17.4
6196.287109;0.979996622;67.77369139;17.5
